id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,0rJUIjeM
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,5Hcqnn4M
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,TpLYuq0i
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,gtFxbqxd
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,oLlZmBMD
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,R1rVAznj
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,ChH1OZDi
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,3os3Q4Lx
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,qIt9xE1b
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,s8CCHucB
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,BptNfBaq
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,JxOb7Syp
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,7scRD8dw
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,meEbhIjz
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,HWtRL8jz
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,VClPS4Nb
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,m81f1nIF
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,d2H1tWi3
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,rBNfGwK5
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,tuuOXB0R
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,0Zs2159S
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,lDQJY6z8
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,YMvTEX3n
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,XkY0H65L
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,GZ2iZ8jA
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,2huUIh5C
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,WD5Ig91n
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,GctwBSMM
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,T2aPDF0U
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,JCRP17uQ
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,xxCAhEfD
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,FEZuCW3O
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,pseIZCl2
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,LnT9WZUx
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,11wd5Ms5
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,SSPdNUrG
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,Is3lHRNG
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,niGPzvpW
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,aSA4TpSF
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,HNYY8Tco
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,5oyVOPc4
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,mdFmDsLa
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,gTBStNLT
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,KSYBO8gg
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,8jDGpiqJ
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,gIx6cBpd
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,XfRrQ4tE
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,BraAfZpI
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,X4N34964
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,CHdrcVpB
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,oSDk0O9i
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,DxPHGqVE
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,svwoIqGy
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,tkVvvmaq
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,vN4rvzNw
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,5AQntgWw
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,nnZzB1sH
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,5nZdgXnN
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,cXQwRC3Z
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,85kRmLiq
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,XBPvlxwF
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,BR6RiBcB
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,dkCTnmdO
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,aOb51xRY
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,yCqCPuPG
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,DvRJjaYV
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,7WKoKYpY
67,Остюков Артур Романович,329,11и,3,Остюков_АР,COiO13Lr
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,JLMH58DL
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,1kKtoBtU
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,daQk3WD7
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,NNl6p9Ii
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,sJ5eBA45
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,sfPafUIz
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,uSkVKOyN
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,5DqBYrns
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,PUUa6pg9
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,EaPfqzac
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,xHSOB6aq
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,a5ak0HG5
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,f0ue27O7
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,XqVLLrHY
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,j5U0aXXg
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,lHpwkWde
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,i5VdmPZ8
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,QxXGyzlB
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,tFJ6ha8C
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,rzg7YhfT
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,8UlQZi1r
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,HPk5eFmk
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,E2eQyyqn
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,XI3gPmLI
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,1XeqimMH
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,dzeRhJD6
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,EJwXitYj
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,vlOl0zwM
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,rwGLeWFP
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,DcIBwqFU
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,Y9q89z7w
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,c8tjX7Tk
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,4MjrGkcW
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,QCNAQlD2
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,Jj9yjeg3
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,id5YFXea
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,eG5q2fIy
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,DvIex3ib
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,T2ZF9kau
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,NY70uu55
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,GorFroPX
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,5Mgv0Sat
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,Xrfd7MVe
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,SvHZT4P2
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,bYdEN5JI
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,4uFfGq84
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,DsewEHTQ
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,qbKAA0NE
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,TS6n0AJs
